,municipio,qtd_notifi_dengue,data
69,ABELARDO LUZ,3,2021-03-01
108,ABELARDO LUZ,1,2021-04-01
168,ABELARDO LUZ,1,2021-05-01
365,ABELARDO LUZ,21,2022-02-01
420,ABELARDO LUZ,451,2022-03-01
550,ABELARDO LUZ,282,2022-04-01
720,ABELARDO LUZ,39,2022-05-01
887,ABELARDO LUZ,2,2022-06-01
1291,ABELARDO LUZ,2,2023-03-01
1381,ABELARDO LUZ,4,2023-04-01
1530,ABELARDO LUZ,1,2023-05-01
1673,ABELARDO LUZ,1,2023-06-01
2024,ABELARDO LUZ,2,2024-01-01
2128,ABELARDO LUZ,2,2024-02-01
2294,ABELARDO LUZ,6,2024-03-01
2510,ABELARDO LUZ,24,2024-04-01
2755,ABELARDO LUZ,35,2024-05-01
2998,ABELARDO LUZ,12,2024-06-01
3184,ABELARDO LUZ,5,2024-07-01
3462,ABELARDO LUZ,1,2024-11-01
3506,ABELARDO LUZ,1,2024-12-01
3726,ABELARDO LUZ,5,2025-03-01
3829,ABELARDO LUZ,1,2025-04-01
3978,ABELARDO LUZ,4,2025-05-01
4313,ABELARDO LUZ,1,2025-09-01
4383,ABELARDO LUZ,1,2025-11-01
4419,ABELARDO LUZ,1,2025-12-01
22,ARAQUARI,2,2021-01-01
37,ARAQUARI,2,2021-02-01
70,ARAQUARI,5,2021-03-01
110,ARAQUARI,20,2021-04-01
170,ARAQUARI,27,2021-05-01
225,ARAQUARI,18,2021-06-01
256,ARAQUARI,6,2021-07-01
296,ARAQUARI,1,2021-10-01
315,ARAQUARI,2,2021-12-01
336,ARAQUARI,1,2022-01-01
426,ARAQUARI,1,2022-03-01
560,ARAQUARI,14,2022-04-01
728,ARAQUARI,51,2022-05-01
892,ARAQUARI,29,2022-06-01
1001,ARAQUARI,6,2022-07-01
1061,ARAQUARI,5,2022-08-01
1103,ARAQUARI,1,2022-09-01
1124,ARAQUARI,2,2022-10-01
1139,ARAQUARI,3,2022-11-01
1156,ARAQUARI,9,2022-12-01
1195,ARAQUARI,6,2023-01-01
1232,ARAQUARI,16,2023-02-01
1297,ARAQUARI,85,2023-03-01
1389,ARAQUARI,294,2023-04-01
1538,ARAQUARI,570,2023-05-01
1680,ARAQUARI,302,2023-06-01
1785,ARAQUARI,129,2023-07-01
1843,ARAQUARI,56,2023-08-01
1883,ARAQUARI,19,2023-09-01
1919,ARAQUARI,21,2023-10-01
1951,ARAQUARI,15,2023-11-01
1977,ARAQUARI,78,2023-12-01
2031,ARAQUARI,263,2024-01-01
2138,ARAQUARI,912,2024-02-01
2305,ARAQUARI,1608,2024-03-01
2525,ARAQUARI,1584,2024-04-01
2769,ARAQUARI,1109,2024-05-01
3007,ARAQUARI,413,2024-06-01
3189,ARAQUARI,145,2024-07-01
3324,ARAQUARI,29,2024-08-01
3380,ARAQUARI,3,2024-09-01
3425,ARAQUARI,2,2024-10-01
3466,ARAQUARI,6,2024-11-01
3509,ARAQUARI,4,2024-12-01
3573,ARAQUARI,5,2025-01-01
3645,ARAQUARI,12,2025-02-01
3728,ARAQUARI,23,2025-03-01
3835,ARAQUARI,54,2025-04-01
3986,ARAQUARI,58,2025-05-01
4127,ARAQUARI,46,2025-06-01
4229,ARAQUARI,11,2025-07-01
4279,ARAQUARI,1,2025-08-01
4316,ARAQUARI,2,2025-09-01
4384,ARAQUARI,1,2025-11-01
4421,ARAQUARI,2,2025-12-01
38,BALNEARIO BARRA DO SUL,1,2021-02-01
71,BALNEARIO BARRA DO SUL,2,2021-03-01
111,BALNEARIO BARRA DO SUL,7,2021-04-01
171,BALNEARIO BARRA DO SUL,13,2021-05-01
226,BALNEARIO BARRA DO SUL,5,2021-06-01
257,BALNEARIO BARRA DO SUL,1,2021-07-01
564,BALNEARIO BARRA DO SUL,12,2022-04-01
732,BALNEARIO BARRA DO SUL,24,2022-05-01
895,BALNEARIO BARRA DO SUL,4,2022-06-01
1002,BALNEARIO BARRA DO SUL,5,2022-07-01
1062,BALNEARIO BARRA DO SUL,1,2022-08-01
1196,BALNEARIO BARRA DO SUL,1,2023-01-01
1234,BALNEARIO BARRA DO SUL,1,2023-02-01
1301,BALNEARIO BARRA DO SUL,17,2023-03-01
1392,BALNEARIO BARRA DO SUL,106,2023-04-01
1541,BALNEARIO BARRA DO SUL,221,2023-05-01
1682,BALNEARIO BARRA DO SUL,130,2023-06-01
1786,BALNEARIO BARRA DO SUL,38,2023-07-01
1845,BALNEARIO BARRA DO SUL,8,2023-08-01
1884,BALNEARIO BARRA DO SUL,1,2023-09-01
1921,BALNEARIO BARRA DO SUL,1,2023-10-01
2033,BALNEARIO BARRA DO SUL,12,2024-01-01
2144,BALNEARIO BARRA DO SUL,71,2024-02-01
2313,BALNEARIO BARRA DO SUL,554,2024-03-01
2533,BALNEARIO BARRA DO SUL,1015,2024-04-01
2777,BALNEARIO BARRA DO SUL,685,2024-05-01
3012,BALNEARIO BARRA DO SUL,170,2024-06-01
3193,BALNEARIO BARRA DO SUL,24,2024-07-01
3325,BALNEARIO BARRA DO SUL,2,2024-08-01
3381,BALNEARIO BARRA DO SUL,2,2024-09-01
3426,BALNEARIO BARRA DO SUL,1,2024-10-01
3467,BALNEARIO BARRA DO SUL,2,2024-11-01
3510,BALNEARIO BARRA DO SUL,6,2024-12-01
3574,BALNEARIO BARRA DO SUL,2,2025-01-01
3647,BALNEARIO BARRA DO SUL,3,2025-02-01
3730,BALNEARIO BARRA DO SUL,1,2025-03-01
3837,BALNEARIO BARRA DO SUL,7,2025-04-01
3992,BALNEARIO BARRA DO SUL,6,2025-05-01
4132,BALNEARIO BARRA DO SUL,12,2025-06-01
4230,BALNEARIO BARRA DO SUL,2,2025-07-01
4280,BALNEARIO BARRA DO SUL,1,2025-08-01
4318,BALNEARIO BARRA DO SUL,1,2025-09-01
4348,BALNEARIO BARRA DO SUL,1,2025-10-01
4422,BALNEARIO BARRA DO SUL,2,2025-12-01
4,BALNEARIO CAMBORIU,1,2020-04-01
14,BALNEARIO CAMBORIU,1,2020-12-01
39,BALNEARIO CAMBORIU,2,2021-02-01
72,BALNEARIO CAMBORIU,2,2021-03-01
112,BALNEARIO CAMBORIU,39,2021-04-01
172,BALNEARIO CAMBORIU,60,2021-05-01
227,BALNEARIO CAMBORIU,12,2021-06-01
258,BALNEARIO CAMBORIU,4,2021-07-01
284,BALNEARIO CAMBORIU,2,2021-09-01
297,BALNEARIO CAMBORIU,1,2021-10-01
316,BALNEARIO CAMBORIU,1,2021-12-01
337,BALNEARIO CAMBORIU,3,2022-01-01
369,BALNEARIO CAMBORIU,3,2022-02-01
430,BALNEARIO CAMBORIU,20,2022-03-01
565,BALNEARIO CAMBORIU,89,2022-04-01
733,BALNEARIO CAMBORIU,119,2022-05-01
896,BALNEARIO CAMBORIU,25,2022-06-01
1003,BALNEARIO CAMBORIU,9,2022-07-01
1063,BALNEARIO CAMBORIU,2,2022-08-01
1104,BALNEARIO CAMBORIU,1,2022-09-01
1140,BALNEARIO CAMBORIU,1,2022-11-01
1157,BALNEARIO CAMBORIU,4,2022-12-01
1197,BALNEARIO CAMBORIU,3,2023-01-01
1235,BALNEARIO CAMBORIU,14,2023-02-01
1302,BALNEARIO CAMBORIU,192,2023-03-01
1393,BALNEARIO CAMBORIU,1396,2023-04-01
1542,BALNEARIO CAMBORIU,1938,2023-05-01
1683,BALNEARIO CAMBORIU,760,2023-06-01
1787,BALNEARIO CAMBORIU,137,2023-07-01
1846,BALNEARIO CAMBORIU,12,2023-08-01
1885,BALNEARIO CAMBORIU,4,2023-09-01
1952,BALNEARIO CAMBORIU,2,2023-11-01
1978,BALNEARIO CAMBORIU,9,2023-12-01
2034,BALNEARIO CAMBORIU,24,2024-01-01
2145,BALNEARIO CAMBORIU,193,2024-02-01
2314,BALNEARIO CAMBORIU,1236,2024-03-01
2534,BALNEARIO CAMBORIU,2694,2024-04-01
2778,BALNEARIO CAMBORIU,2258,2024-05-01
3013,BALNEARIO CAMBORIU,574,2024-06-01
3194,BALNEARIO CAMBORIU,133,2024-07-01
3326,BALNEARIO CAMBORIU,4,2024-08-01
3382,BALNEARIO CAMBORIU,1,2024-09-01
3427,BALNEARIO CAMBORIU,2,2024-10-01
3468,BALNEARIO CAMBORIU,4,2024-11-01
3511,BALNEARIO CAMBORIU,1,2024-12-01
3575,BALNEARIO CAMBORIU,6,2025-01-01
3648,BALNEARIO CAMBORIU,12,2025-02-01
3731,BALNEARIO CAMBORIU,53,2025-03-01
3838,BALNEARIO CAMBORIU,166,2025-04-01
3993,BALNEARIO CAMBORIU,279,2025-05-01
4133,BALNEARIO CAMBORIU,162,2025-06-01
4231,BALNEARIO CAMBORIU,28,2025-07-01
4281,BALNEARIO CAMBORIU,4,2025-08-01
4319,BALNEARIO CAMBORIU,3,2025-09-01
4386,BALNEARIO CAMBORIU,1,2025-11-01
4423,BALNEARIO CAMBORIU,1,2025-12-01
4477,BALNEARIO CAMBORIU,2,2026-01-01
115,BARRA VELHA,1,2021-04-01
174,BARRA VELHA,5,2021-05-01
229,BARRA VELHA,1,2021-06-01
371,BARRA VELHA,1,2022-02-01
433,BARRA VELHA,1,2022-03-01
569,BARRA VELHA,5,2022-04-01
736,BARRA VELHA,29,2022-05-01
899,BARRA VELHA,13,2022-06-01
1005,BARRA VELHA,4,2022-07-01
1105,BARRA VELHA,1,2022-09-01
1125,BARRA VELHA,1,2022-10-01
1141,BARRA VELHA,1,2022-11-01
1158,BARRA VELHA,9,2022-12-01
1198,BARRA VELHA,2,2023-01-01
1238,BARRA VELHA,1,2023-02-01
1305,BARRA VELHA,44,2023-03-01
1396,BARRA VELHA,269,2023-04-01
1545,BARRA VELHA,485,2023-05-01
1685,BARRA VELHA,306,2023-06-01
1789,BARRA VELHA,94,2023-07-01
1848,BARRA VELHA,17,2023-08-01
1886,BARRA VELHA,8,2023-09-01
1922,BARRA VELHA,1,2023-10-01
1954,BARRA VELHA,5,2023-11-01
1980,BARRA VELHA,12,2023-12-01
2036,BARRA VELHA,12,2024-01-01
2147,BARRA VELHA,94,2024-02-01
2319,BARRA VELHA,292,2024-03-01
2539,BARRA VELHA,904,2024-04-01
2784,BARRA VELHA,1044,2024-05-01
3019,BARRA VELHA,248,2024-06-01
3198,BARRA VELHA,102,2024-07-01
3328,BARRA VELHA,11,2024-08-01
3430,BARRA VELHA,4,2024-10-01
3470,BARRA VELHA,4,2024-11-01
3513,BARRA VELHA,7,2024-12-01
3577,BARRA VELHA,4,2025-01-01
3650,BARRA VELHA,7,2025-02-01
3734,BARRA VELHA,24,2025-03-01
3842,BARRA VELHA,86,2025-04-01
3998,BARRA VELHA,75,2025-05-01
4138,BARRA VELHA,26,2025-06-01
4234,BARRA VELHA,5,2025-07-01
4387,BARRA VELHA,1,2025-11-01
4424,BARRA VELHA,2,2025-12-01
4478,BARRA VELHA,1,2026-01-01
40,BIGUACU,1,2021-02-01
116,BIGUACU,1,2021-04-01
176,BIGUACU,1,2021-05-01
435,BIGUACU,4,2022-03-01
572,BIGUACU,15,2022-04-01
739,BIGUACU,33,2022-05-01
901,BIGUACU,9,2022-06-01
1006,BIGUACU,3,2022-07-01
1159,BIGUACU,2,2022-12-01
1240,BIGUACU,10,2023-02-01
1306,BIGUACU,162,2023-03-01
1399,BIGUACU,567,2023-04-01
1546,BIGUACU,829,2023-05-01
1686,BIGUACU,342,2023-06-01
1790,BIGUACU,52,2023-07-01
1849,BIGUACU,5,2023-08-01
1887,BIGUACU,6,2023-09-01
1923,BIGUACU,3,2023-10-01
1955,BIGUACU,2,2023-11-01
1981,BIGUACU,5,2023-12-01
2037,BIGUACU,13,2024-01-01
2149,BIGUACU,37,2024-02-01
2322,BIGUACU,78,2024-03-01
2542,BIGUACU,183,2024-04-01
2788,BIGUACU,185,2024-05-01
3021,BIGUACU,64,2024-06-01
3200,BIGUACU,16,2024-07-01
3329,BIGUACU,4,2024-08-01
3385,BIGUACU,2,2024-09-01
3471,BIGUACU,3,2024-11-01
3514,BIGUACU,2,2024-12-01
3578,BIGUACU,3,2025-01-01
3651,BIGUACU,5,2025-02-01
3735,BIGUACU,20,2025-03-01
3845,BIGUACU,40,2025-04-01
3999,BIGUACU,43,2025-05-01
4140,BIGUACU,54,2025-06-01
4235,BIGUACU,19,2025-07-01
4283,BIGUACU,3,2025-08-01
4320,BIGUACU,2,2025-09-01
4349,BIGUACU,3,2025-10-01
4388,BIGUACU,1,2025-11-01
4425,BIGUACU,5,2025-12-01
1,BLUMENAU,1,2020-03-01
5,BLUMENAU,2,2020-04-01
8,BLUMENAU,2,2020-05-01
12,BLUMENAU,1,2020-06-01
23,BLUMENAU,1,2021-01-01
41,BLUMENAU,2,2021-02-01
74,BLUMENAU,4,2021-03-01
117,BLUMENAU,9,2021-04-01
177,BLUMENAU,15,2021-05-01
230,BLUMENAU,2,2021-06-01
276,BLUMENAU,3,2021-08-01
285,BLUMENAU,1,2021-09-01
309,BLUMENAU,3,2021-11-01
317,BLUMENAU,2,2021-12-01
339,BLUMENAU,8,2022-01-01
373,BLUMENAU,32,2022-02-01
436,BLUMENAU,721,2022-03-01
573,BLUMENAU,3316,2022-04-01
740,BLUMENAU,4130,2022-05-01
902,BLUMENAU,1413,2022-06-01
1007,BLUMENAU,464,2022-07-01
1064,BLUMENAU,137,2022-08-01
1106,BLUMENAU,105,2022-09-01
1126,BLUMENAU,87,2022-10-01
1142,BLUMENAU,18,2022-11-01
1160,BLUMENAU,5,2022-12-01
1200,BLUMENAU,10,2023-01-01
1241,BLUMENAU,29,2023-02-01
1307,BLUMENAU,119,2023-03-01
1400,BLUMENAU,619,2023-04-01
1547,BLUMENAU,831,2023-05-01
1687,BLUMENAU,401,2023-06-01
1791,BLUMENAU,162,2023-07-01
1850,BLUMENAU,73,2023-08-01
1888,BLUMENAU,29,2023-09-01
1924,BLUMENAU,50,2023-10-01
1956,BLUMENAU,23,2023-11-01
1982,BLUMENAU,51,2023-12-01
2038,BLUMENAU,494,2024-01-01
2150,BLUMENAU,3657,2024-02-01
2323,BLUMENAU,14059,2024-03-01
2543,BLUMENAU,23712,2024-04-01
2789,BLUMENAU,13613,2024-05-01
3022,BLUMENAU,2672,2024-06-01
3201,BLUMENAU,849,2024-07-01
3330,BLUMENAU,126,2024-08-01
3386,BLUMENAU,16,2024-09-01
3432,BLUMENAU,10,2024-10-01
3472,BLUMENAU,9,2024-11-01
3515,BLUMENAU,12,2024-12-01
3579,BLUMENAU,12,2025-01-01
3652,BLUMENAU,5,2025-02-01
3736,BLUMENAU,54,2025-03-01
3846,BLUMENAU,95,2025-04-01
4000,BLUMENAU,143,2025-05-01
4141,BLUMENAU,77,2025-06-01
4236,BLUMENAU,9,2025-07-01
4284,BLUMENAU,4,2025-08-01
4321,BLUMENAU,1,2025-09-01
4350,BLUMENAU,5,2025-10-01
4389,BLUMENAU,1,2025-11-01
4426,BLUMENAU,3,2025-12-01
15,BOMBINHAS,1,2020-12-01
42,BOMBINHAS,2,2021-02-01
118,BOMBINHAS,7,2021-04-01
178,BOMBINHAS,10,2021-05-01
298,BOMBINHAS,1,2021-10-01
374,BOMBINHAS,2,2022-02-01
437,BOMBINHAS,21,2022-03-01
574,BOMBINHAS,131,2022-04-01
741,BOMBINHAS,252,2022-05-01
903,BOMBINHAS,74,2022-06-01
1008,BOMBINHAS,18,2022-07-01
1065,BOMBINHAS,1,2022-08-01
1107,BOMBINHAS,1,2022-09-01
1161,BOMBINHAS,1,2022-12-01
1242,BOMBINHAS,6,2023-02-01
1308,BOMBINHAS,36,2023-03-01
1401,BOMBINHAS,146,2023-04-01
1548,BOMBINHAS,188,2023-05-01
1688,BOMBINHAS,95,2023-06-01
1792,BOMBINHAS,29,2023-07-01
1851,BOMBINHAS,2,2023-08-01
1889,BOMBINHAS,1,2023-09-01
2039,BOMBINHAS,10,2024-01-01
2151,BOMBINHAS,132,2024-02-01
2324,BOMBINHAS,478,2024-03-01
2544,BOMBINHAS,263,2024-04-01
2790,BOMBINHAS,90,2024-05-01
3023,BOMBINHAS,17,2024-06-01
3202,BOMBINHAS,7,2024-07-01
3331,BOMBINHAS,2,2024-08-01
3387,BOMBINHAS,1,2024-09-01
3473,BOMBINHAS,1,2024-11-01
3653,BOMBINHAS,2,2025-02-01
3737,BOMBINHAS,16,2025-03-01
3847,BOMBINHAS,36,2025-04-01
4001,BOMBINHAS,41,2025-05-01
4142,BOMBINHAS,26,2025-06-01
4237,BOMBINHAS,12,2025-07-01
4285,BOMBINHAS,6,2025-08-01
4322,BOMBINHAS,3,2025-09-01
4351,BOMBINHAS,5,2025-10-01
4390,BOMBINHAS,13,2025-11-01
4427,BOMBINHAS,27,2025-12-01
4479,BOMBINHAS,10,2026-01-01
4503,BOMBINHAS,1,2026-02-01
319,CACADOR,1,2021-12-01
341,CACADOR,1,2022-01-01
579,CACADOR,3,2022-04-01
747,CACADOR,1,2022-05-01
1407,CACADOR,7,2023-04-01
1553,CACADOR,3,2023-05-01
1794,CACADOR,1,2023-07-01
2043,CACADOR,1,2024-01-01
2156,CACADOR,1,2024-02-01
2331,CACADOR,11,2024-03-01
2552,CACADOR,27,2024-04-01
2798,CACADOR,21,2024-05-01
3028,CACADOR,3,2024-06-01
3207,CACADOR,1,2024-07-01
3333,CACADOR,1,2024-08-01
3518,CACADOR,2,2024-12-01
3582,CACADOR,1,2025-01-01
3655,CACADOR,9,2025-02-01
3739,CACADOR,62,2025-03-01
3851,CACADOR,67,2025-04-01
4005,CACADOR,27,2025-05-01
4145,CACADOR,22,2025-06-01
4240,CACADOR,3,2025-07-01
4392,CACADOR,2,2025-11-01
4428,CACADOR,1,2025-12-01
45,CAMBORIU,3,2021-02-01
75,CAMBORIU,7,2021-03-01
120,CAMBORIU,89,2021-04-01
181,CAMBORIU,164,2021-05-01
232,CAMBORIU,52,2021-06-01
260,CAMBORIU,6,2021-07-01
277,CAMBORIU,1,2021-08-01
320,CAMBORIU,1,2021-12-01
444,CAMBORIU,8,2022-03-01
581,CAMBORIU,17,2022-04-01
749,CAMBORIU,29,2022-05-01
909,CAMBORIU,7,2022-06-01
1012,CAMBORIU,3,2022-07-01
1143,CAMBORIU,1,2022-11-01
1245,CAMBORIU,4,2023-02-01
1311,CAMBORIU,52,2023-03-01
1408,CAMBORIU,229,2023-04-01
1554,CAMBORIU,399,2023-05-01
1692,CAMBORIU,200,2023-06-01
1795,CAMBORIU,30,2023-07-01
1853,CAMBORIU,11,2023-08-01
1891,CAMBORIU,4,2023-09-01
2044,CAMBORIU,40,2024-01-01
