Tipologia,ID do Anúncio,Título,Preço,Condomínio,IPTU,Data do Anúncio
"Lourdes_Belo Horizonte, Lourdes_Q2_B2",1372309389.0,"APTO DE  2 QUARTO, EMI NOVO NO ANTO AGOTINHO, JUNTO AO DIAMOND",R$ 1.250.000,R$ 650,R$ 4.500,28/01 às 11:59
"Lourdes_Belo Horizonte, Lourdes_Q5 ou mais_BNone",1365815975.0,CARNAVAL - BH - 2025 - 30 HÓSPEDES,R$ 21.000,,,27/01 às 13:27
"Lourdes_Belo Horizonte, Lourdes_Q4_B4",1371951175.0,4 Quartos - 250m2- Praça de Marília Dirceu - LOURDES ,R$ 2.749.000,R$ 2.150,R$ 1.183,27/01 às 11:59
"Lourdes_Belo Horizonte, Lourdes_Q2_B3",1373554001.0,Cobertura no bairro de Loudes 2 quartos e 2 vagas,R$ 5.500,R$ 1.350,R$ 550,29/01 às 23:16
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1296146645.0,"Cobertura com 3 Quartos 1 suite à venda, 287 m² por R$ 3.819.792 - Lourdes - Belo Horizont",R$ 3.819.792,R$ 1.180,R$ 1.046,29/01 às 22:43
None_None_QNone_BNone,,,,,,
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1296146710.0,"Apartamento com 3 Quartos 1 suite à venda, 89 m² por R$ 1.383.375 - Lourdes - Belo Horizon",R$ 1.383.375,R$ 1.000,R$ 697,29/01 às 19:38
"Lourdes_Belo Horizonte, Lourdes_QNone_BNone",1374410393.0,Lote em Rua da Bahia - Lourdes - Belo Horizonte/MG,R$ 4.499.680,R$ 1,R$ 20.000,29/01 às 19:28
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1374382293.0,Apartamento 03 quartos no Lourdes próximo ao Shopping Diamond Mall,R$ 1.300.000,R$ 1.600,R$ 7.000,29/01 às 17:35
"Lourdes_Belo Horizonte, Lourdes_Q2_B3",1374359348.0,"Cobertura à venda, 02 quartos, 02 vagas de garagem.",R$ 1.000.000,R$ 0,R$ 0,29/01 às 16:06
"Centro_Belo Horizonte, Centro_Q3_B2",1374359367.0,"Apartamento todo reformado à venda, 03 quartos.",R$ 530.000,R$ 750,R$ 1.400,29/01 às 16:06
"Centro_Belo Horizonte, Centro_Q3_B2",1374271345.0,Apartamento todo mobiliado para locação no centro Bh.,R$ 3.000,R$ 480,R$ 2.250,29/01 às 11:36
"Lourdes_Belo Horizonte, Lourdes_QNone_BNone",1374218830.0,Escritório à Venda no Bairro Lourdes com Área Privativa de 58 m² - Oportunidade Imperdível,R$ 400.000,R$ 740,R$ 200,29/01 às 08:15
"Lourdes_Belo Horizonte, Lourdes_QNone_BNone",1374210424.0,Aluguel de casa comercial no Lourdes em BH,R$ 35.000,R$ 0,R$ 2.236,29/01 às 07:07
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1374207820.0,Apartamento 3 quartos (1 suite) Bairro Lourdes,R$ 1.400.000,R$ 1.500,R$ 603,29/01 às 06:45
"Lourdes_Belo Horizonte, Lourdes_Q3_B3",1374201235.0,Apartamento com 3 quatos para alugar - Lourdes - Belo Horizonte/MG,R$ 6.000,R$ 1.418,R$ 765,29/01 às 05:54
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1374200829.0,"Apartamento 3 Quartos à venda, 3 quartos, 1 suíte, 2 vagas, Lourdes - Belo Horizonte/MG",R$ 1.300.000,R$ 1.641,R$ 583,29/01 às 05:40
"Lourdes_Belo Horizonte, Lourdes_Q1_B1",1374197924.0,Locação Apartamento 1 quarto Lourdes Belo Horizonte,R$ 3.800,R$ 0,R$ 0,29/01 às 04:52
"Lourdes_Belo Horizonte, Lourdes_Q2_B3",1374186126.0,Aluguel - APARTAMENTO - LOURDES BELO HORIZONTE MG,R$ 4.600,R$ 995,R$ 530,29/01 às 02:37
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1374184105.0,APARTAMENTO 3 QUARTOS PARA ALUGAR - LOURDES,R$ 2.500,R$ 450,R$ 278,29/01 às 02:15
"Lourdes_Belo Horizonte, Lourdes_Q4_B3",1374177604.0,Apartamento 4 quartos  Lourdes,R$ 10.000,R$ 3.500,R$ 990,29/01 às 00:59
"Centro_Belo Horizonte, Centro_Q2_B1",1374159188.0,Maravilhoso apartamento 2 quartos mobiliado e decorado .,R$ 4.500,R$ 600,R$ 317,28/01 às 23:27
"Lourdes_Belo Horizonte, Lourdes_Q3_B3",1374155507.0,Aluguel - APARTAMENTO - LOURDES BELO HORIZONTE MG,R$ 3.900,R$ 450,R$ 250,28/01 às 23:14
