Empreendimento,ID do Anúncio,Nome,Endereço,Bairro,Município,Estado
"Lourdes_Belo Horizonte, Lourdes",1372309389.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1365815975.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1371951175.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1373554001.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1296146645.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
None_None,,,,,,
"Lourdes_Belo Horizonte, Lourdes",1296146710.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374410393.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374382293.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374359348.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Centro_Belo Horizonte, Centro",1374359367.0,Centro,"Belo Horizonte, Centro",Centro,Belo Horizonte,MG
"Centro_Belo Horizonte, Centro",1374271345.0,Centro,"Belo Horizonte, Centro",Centro,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374218830.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374210424.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374207820.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374201235.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374200829.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374197924.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374186126.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374184105.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374177604.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Centro_Belo Horizonte, Centro",1374159188.0,Centro,"Belo Horizonte, Centro",Centro,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374155507.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374146068.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374096963.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374087390.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374051302.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374032204.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374016476.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Centro_Belo Horizonte, Centro",1374016463.0,Centro,"Belo Horizonte, Centro",Centro,Belo Horizonte,MG
"Centro_Belo Horizonte, Centro",1374009376.0,Centro,"Belo Horizonte, Centro",Centro,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1374007700.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1373997864.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1373994097.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1373992032.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
"Centro_Belo Horizonte, Centro",1373989200.0,Centro,"Belo Horizonte, Centro",Centro,Belo Horizonte,MG
"Lourdes_Belo Horizonte, Lourdes",1373922980.0,Lourdes,"Belo Horizonte, Lourdes",Lourdes,Belo Horizonte,MG
