Tipologia,ID do Anúncio,Empreendimento,Número de Quartos,Número de Banheiros,Área Útil,Vagas na Garagem,Preço Médio
"Lourdes_Belo Horizonte, Lourdes_Q2_B2",1372309389.0,"Lourdes_Belo Horizonte, Lourdes",2,2,64m²,2,R$ 1.250.000
"Lourdes_Belo Horizonte, Lourdes_Q5 ou mais_BNone",1365815975.0,"Lourdes_Belo Horizonte, Lourdes",5 ou mais,,,0,R$ 21.000
"Lourdes_Belo Horizonte, Lourdes_Q4_B4",1371951175.0,"Lourdes_Belo Horizonte, Lourdes",4,4,250m²,4,R$ 2.749.000
"Lourdes_Belo Horizonte, Lourdes_Q2_B3",1373554001.0,"Lourdes_Belo Horizonte, Lourdes",2,3,140m²,2,R$ 5.500
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1296146645.0,"Lourdes_Belo Horizonte, Lourdes",3,2,287m²,3,R$ 3.819.792
None_None_QNone_BNone,,None_None,,,,,
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1296146710.0,"Lourdes_Belo Horizonte, Lourdes",3,2,89m²,2,R$ 1.383.375
"Lourdes_Belo Horizonte, Lourdes_QNone_BNone",1374410393.0,"Lourdes_Belo Horizonte, Lourdes",,,75m²,,R$ 4.499.680
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1374382293.0,"Lourdes_Belo Horizonte, Lourdes",3,2,110m²,2,R$ 1.300.000
"Lourdes_Belo Horizonte, Lourdes_Q2_B3",1374359348.0,"Lourdes_Belo Horizonte, Lourdes",2,3,27m²,2,R$ 1.000.000
"Centro_Belo Horizonte, Centro_Q3_B2",1374359367.0,"Centro_Belo Horizonte, Centro",3,2,112m²,0,R$ 530.000
"Centro_Belo Horizonte, Centro_Q3_B2",1374271345.0,"Centro_Belo Horizonte, Centro",3,2,130m²,0,R$ 3.000
"Lourdes_Belo Horizonte, Lourdes_QNone_BNone",1374218830.0,"Lourdes_Belo Horizonte, Lourdes",,,58m²,1,R$ 400.000
"Lourdes_Belo Horizonte, Lourdes_QNone_BNone",1374210424.0,"Lourdes_Belo Horizonte, Lourdes",,,350m²,2,R$ 35.000
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1374207820.0,"Lourdes_Belo Horizonte, Lourdes",3,2,100m²,3,R$ 1.400.000
"Lourdes_Belo Horizonte, Lourdes_Q3_B3",1374201235.0,"Lourdes_Belo Horizonte, Lourdes",3,3,97m²,3,R$ 6.000
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1374200829.0,"Lourdes_Belo Horizonte, Lourdes",3,2,95m²,2,R$ 1.300.000
"Lourdes_Belo Horizonte, Lourdes_Q1_B1",1374197924.0,"Lourdes_Belo Horizonte, Lourdes",1,1,40m²,1,R$ 3.800
"Lourdes_Belo Horizonte, Lourdes_Q2_B3",1374186126.0,"Lourdes_Belo Horizonte, Lourdes",2,3,75m²,2,R$ 4.600
"Lourdes_Belo Horizonte, Lourdes_Q3_B2",1374184105.0,"Lourdes_Belo Horizonte, Lourdes",3,2,100m²,0,R$ 2.500
"Lourdes_Belo Horizonte, Lourdes_Q4_B3",1374177604.0,"Lourdes_Belo Horizonte, Lourdes",4,3,300m²,4,R$ 10.000
"Centro_Belo Horizonte, Centro_Q2_B1",1374159188.0,"Centro_Belo Horizonte, Centro",2,1,46m²,1,R$ 4.500
"Lourdes_Belo Horizonte, Lourdes_Q3_B3",1374155507.0,"Lourdes_Belo Horizonte, Lourdes",3,3,130m²,1,R$ 3.900
"Lourdes_Belo Horizonte, Lourdes_Q2_B1",1374146068.0,"Lourdes_Belo Horizonte, Lourdes",2,1,144m²,2,R$ 8.500
"Lourdes_Belo Horizonte, Lourdes_Q4_B5 ou mais",1374096963.0,"Lourdes_Belo Horizonte, Lourdes",4,5 ou mais,191m²,3,R$ 4.518.000
"Lourdes_Belo Horizonte, Lourdes_Q4_B2",1374087390.0,"Lourdes_Belo Horizonte, Lourdes",4,2,260m²,3,R$ 2.900.000
"Lourdes_Belo Horizonte, Lourdes_QNone_BNone",1374051302.0,"Lourdes_Belo Horizonte, Lourdes",,,415m²,5 ou mais,R$ 24.000
"Lourdes_Belo Horizonte, Lourdes_Q1_B1",1374032204.0,"Lourdes_Belo Horizonte, Lourdes",1,1,56m²,1,R$ 650.000
"Lourdes_Belo Horizonte, Lourdes_Q1_B1",1374016476.0,"Lourdes_Belo Horizonte, Lourdes",1,1,45m²,1,R$ 3.100
"Centro_Belo Horizonte, Centro_Q1_B1",1374016463.0,"Centro_Belo Horizonte, Centro",1,1,45m²,1,R$ 3.200
"Centro_Belo Horizonte, Centro_Q1_B1",1374009376.0,"Centro_Belo Horizonte, Centro",1,1,50m²,,R$ 275.000
"Lourdes_Belo Horizonte, Lourdes_Q2_B3",1374007700.0,"Lourdes_Belo Horizonte, Lourdes",2,3,73m²,2,R$ 1.480.000
"Lourdes_Belo Horizonte, Lourdes_Q4_B3",1373997864.0,"Lourdes_Belo Horizonte, Lourdes",4,3,300m²,4,R$ 10.000
"Lourdes_Belo Horizonte, Lourdes_QNone_BNone",1373994097.0,"Lourdes_Belo Horizonte, Lourdes",,,24m²,0,R$ 180.000
"Lourdes_Belo Horizonte, Lourdes_Q2_B2",1373992032.0,"Lourdes_Belo Horizonte, Lourdes",2,2,70m²,2,R$ 1.300.000
"Centro_Belo Horizonte, Centro_Q2_B1",1373989200.0,"Centro_Belo Horizonte, Centro",2,1,50m²,,R$ 350.000
"Lourdes_Belo Horizonte, Lourdes_Q4_B5 ou mais",1373922980.0,"Lourdes_Belo Horizonte, Lourdes",4,5 ou mais,373m²,4,R$ 2.900.000
"Lourdes_Belo Horizonte, Lourdes_Q2_B2",1373921520.0,"Lourdes_Belo Horizonte, Lourdes",2,2,75m²,2,R$ 1.200.000
"Lourdes_Belo Horizonte, Lourdes_Q4_B2",1373920140.0,"Lourdes_Belo Horizonte, Lourdes",4,2,154m²,1,R$ 1.100.000
"Lourdes_Belo Horizonte, Lourdes_Q4_B4",1373920053.0,"Lourdes_Belo Horizonte, Lourdes",4,4,188m²,3,R$ 3.290.000
